t,label
0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,1
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,1
0.34,1
0.35000000000000003,1
0.36,1
0.37,1
0.38,1
0.39,0
0.4,0
0.41000000000000003,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47000000000000003,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,1
0.55,1
0.56,1
0.5700000000000001,1
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,1
0.68,0
0.6900000000000001,0
0.7000000000000001,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.8200000000000001,0
0.8300000000000001,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,1
0.9,1
0.91,1
0.92,0
0.93,0
0.9400000000000001,0
0.9500000000000001,0
0.96,0
0.97,0
0.98,1
0.99,1
1.0,1
1.01,1
1.02,1
1.03,1
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.1300000000000001,0
1.1400000000000001,0
1.1500000000000001,0
1.16,0
1.17,0
1.18,1
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,1
1.27,1
1.28,1
1.29,1
1.3,1
1.31,1
1.32,1
1.33,1
1.34,1
1.35,0
1.36,0
1.37,0
1.3800000000000001,0
1.3900000000000001,0
1.4000000000000001,0
1.41,0
1.42,1
1.43,1
1.44,1
1.45,1
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,1
1.54,1
1.55,0
1.56,0
1.57,1
1.58,1
1.59,1
1.6,0
1.61,0
1.62,0
1.6300000000000001,0
1.6400000000000001,0
1.6500000000000001,0
1.6600000000000001,0
1.67,0
1.68,1
1.69,1
1.7,1
1.71,0
1.72,0
1.73,1
1.74,1
1.75,1
1.76,1
1.77,1
1.78,0
1.79,1
1.8,1
1.81,1
1.82,0
1.83,0
1.84,0
1.85,0
1.86,1
1.87,1
1.8800000000000001,1
1.8900000000000001,1
1.9000000000000001,1
1.9100000000000001,1
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,0
1.99,0
2.0,0
2.0100000000000002,0
2.02,0
2.0300000000000002,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,1
2.1,1
2.11,1
2.12,1
2.13,1
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0
2.25,0
2.2600000000000002,1
2.27,1
2.2800000000000002,1
2.29,1
2.3000000000000003,0
2.31,0
2.32,0
2.33,0
2.34,0
2.35,0
2.36,0
2.37,0
2.38,0
2.39,0
2.4,0
2.41,0
2.42,0
2.43,0
2.44,0
2.45,0
2.46,0
2.47,0
2.48,0
2.49,1
2.5,1
2.5100000000000002,1
2.52,1
2.5300000000000002,1
2.54,0
2.5500000000000003,1
2.56,1
2.57,1
2.58,0
2.59,1
2.6,1
2.61,1
2.62,1
2.63,0
2.64,0
2.65,0
2.66,0
2.67,0
2.68,0
2.69,0
2.7,0
2.71,1
2.72,0
2.73,0
2.74,0
2.75,0
2.7600000000000002,0
2.77,0
2.7800000000000002,0
2.79,0
2.8000000000000003,0
2.81,0
2.82,0
2.83,1
2.84,1
2.85,1
2.86,1
2.87,1
2.88,1
2.89,1
2.9,1
2.91,1
2.92,1
2.93,1
2.94,1
2.95,1
2.96,1
2.97,1
2.98,1
2.99,1
3.0,0
3.0100000000000002,0
3.02,0
3.0300000000000002,0
3.04,0
3.0500000000000003,0
3.06,0
3.0700000000000003,0
3.08,0
3.09,0
3.1,0
3.11,0
3.12,0
3.13,0
3.14,0
3.15,0
3.16,0
3.17,0
3.18,0
3.19,1
3.2,1
3.21,1
3.22,1
3.23,1
3.24,1
3.25,1
3.2600000000000002,0
3.27,1
3.2800000000000002,0
3.29,0
3.3000000000000003,0
3.31,0
3.3200000000000003,0
3.33,0
3.34,0
3.35,1
3.36,1
3.37,1
3.38,0
3.39,0
3.4,0
3.41,0
3.42,0
3.43,0
3.44,0
3.45,0
3.46,1
3.47,1
3.48,1
3.49,1
3.5,1
3.5100000000000002,0
3.52,0
3.5300000000000002,0
3.54,0
3.5500000000000003,1
3.56,1
3.5700000000000003,0
3.58,0
3.59,1
3.6,1
3.61,0
3.62,0
3.63,0
3.64,0
3.65,0
3.66,0
3.67,0
3.68,0
3.69,0
3.7,0
3.71,0
3.72,0
3.73,0
3.74,1
3.75,1
3.7600000000000002,1
3.77,0
3.7800000000000002,1
3.79,0
3.8000000000000003,0
3.81,0
3.8200000000000003,0
3.83,0
3.84,0
3.85,1
3.86,1
3.87,1
3.88,1
3.89,1
3.9,1
3.91,0
3.92,0
3.93,0
3.94,1
3.95,1
3.96,0
3.97,0
3.98,0
3.99,0
4.0,0
4.01,1
4.0200000000000005,0
4.03,0
4.04,0
4.05,0
4.0600000000000005,1
4.07,0
4.08,0
4.09,0
4.1,0
4.11,0
4.12,0
4.13,1
4.14,1
4.15,1
4.16,1
4.17,1
4.18,0
4.19,0
4.2,0
4.21,0
4.22,1
4.23,1
4.24,0
4.25,1
4.26,1
4.2700000000000005,1
4.28,0
4.29,0
4.3,1
4.3100000000000005,1
4.32,1
4.33,0
4.34,0
4.3500000000000005,0
4.36,1
4.37,1
4.38,1
4.39,1
4.4,0
4.41,1
4.42,1
4.43,1
4.44,1
4.45,0
4.46,0
4.47,1
4.48,1
4.49,1
4.5,1
4.51,1
4.5200000000000005,0
4.53,0
4.54,0
4.55,0
4.5600000000000005,0
4.57,0
4.58,0
4.59,0
4.6000000000000005,0
4.61,0
4.62,0
4.63,0
4.64,0
4.65,0
4.66,0
4.67,0
4.68,0
4.69,0
4.7,0
4.71,0
4.72,1
4.73,1
4.74,1
4.75,1
4.76,1
4.7700000000000005,1
4.78,0
4.79,0
4.8,0
4.8100000000000005,0
4.82,0
4.83,0
4.84,0
4.8500000000000005,0
4.86,1
4.87,1
4.88,1
4.89,0
4.9,0
4.91,0
4.92,0
4.93,0
4.94,0
4.95,0
4.96,1
4.97,1
4.98,1
4.99,1
5.0,0
5.01,0
5.0200000000000005,0
5.03,1
5.04,1
5.05,0
5.0600000000000005,0
5.07,0
5.08,1
5.09,1
5.1000000000000005,1
5.11,0
5.12,0
5.13,0
5.14,0
5.15,0
5.16,0
5.17,0
5.18,0
5.19,0
5.2,0
5.21,1
5.22,1
5.23,1
5.24,1
5.25,0
5.26,0
5.2700000000000005,0
5.28,0
5.29,0
5.3,0
5.3100000000000005,0
5.32,0
5.33,0
5.34,0
5.3500000000000005,0
5.36,1
5.37,0
5.38,0
5.39,0
5.4,0
5.41,0
5.42,0
5.43,0
5.44,0
5.45,0
5.46,0
5.47,0
5.48,0
5.49,0
5.5,0
5.51,0
5.5200000000000005,0
5.53,0
5.54,0
5.55,0
5.5600000000000005,0
5.57,1
5.58,1
5.59,0
5.6000000000000005,0
5.61,0
5.62,0
5.63,0
5.64,0
5.65,0
5.66,0
5.67,0
5.68,1
5.69,0
5.7,1
5.71,1
5.72,1
5.73,1
5.74,1
5.75,0
5.76,0
5.7700000000000005,0
5.78,0
5.79,0
5.8,0
5.8100000000000005,0
5.82,0
5.83,0
5.84,0
5.8500000000000005,0
5.86,1
5.87,1
5.88,1
5.89,1
5.9,1
5.91,1
5.92,0
5.93,0
5.94,0
5.95,0
5.96,0
5.97,0
5.98,0
5.99,0
6.0,1
6.01,1
6.0200000000000005,0
6.03,0
6.04,0
6.05,0
6.0600000000000005,0
6.07,0
6.08,0
6.09,0
6.1000000000000005,0
6.11,0
6.12,0
6.13,1
6.140000000000001,1
6.15,0
6.16,0
6.17,0
6.18,0
6.19,0
6.2,0
6.21,0
6.22,0
6.23,1
6.24,1
6.25,1
6.26,1
6.2700000000000005,1
6.28,0
6.29,1
6.3,1
6.3100000000000005,1
6.32,1
6.33,1
6.34,1
6.3500000000000005,1
